latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
16.32583,75.08092,311.2,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,284.6,0.8,
16.48451,74.37551,323.9,0.38,0.36,2017-12-01,2036,N,VIIRS,n,1,285.1,2,
16.55583,74.35011,302.6,0.38,0.36,2017-12-01,2036,N,VIIRS,n,1,283.7,0.5,
16.57553,74.41972,299.6,0.38,0.36,2017-12-01,2036,N,VIIRS,n,1,281.2,0.3,
16.56799,74.57665,307.4,0.38,0.36,2017-12-01,2036,N,VIIRS,n,1,265.8,0.7,
16.69097,74.30978,307.7,0.38,0.36,2017-12-01,2036,N,VIIRS,n,1,280.7,0.8,
16.6206,75.33378,300.2,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,280.1,0.5,
16.97245,74.21983,307.3,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,285.9,0.8,
16.97576,74.22039,318.2,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,287,1.3,
17.25822,74.25125,308.5,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,284,0.9,
17.21008,76.22993,325.7,0.4,0.37,2017-12-01,2036,N,VIIRS,n,1,286,2.3,
17.40465,75.70274,301.1,0.39,0.36,2017-12-01,2036,N,VIIRS,n,1,280.8,0.5,
16.60361,80.49679,299.5,0.43,0.46,2017-12-01,2036,N,VIIRS,n,1,277,2.8,
16.60287,80.50076,334.8,0.43,0.46,2017-12-01,2036,N,VIIRS,n,1,276.6,3.2,
